family,model,fold,policy,Y_A,Y_B,Y_PSP,oracle,delta_vs_psp,delta_vs_A,delta_vs_B
F0,F0:logistic,0,0.8859550597396328,0.8621281869289465,0.8884813465865097,0.9323227092409972,0.9498285012665203,-0.04636764950136422,0.023826872810686472,-0.0025262868468766088
F0,F0:logistic,1,0.80866468342937,0.8205116171994596,0.7956087557203922,0.8677265965726576,0.8877525199086346,-0.05906191314328755,-0.011846933770089534,0.013055927708977838
F0,F0:logistic,2,0.8009515269428725,0.7905271281930851,0.804671392017533,0.8272887818641262,0.8673898655816679,-0.026337254921253772,0.010424398749787355,-0.003719865074660639
F0,F0:logistic,3,0.9453359638314695,0.938839644130948,0.9423950272347545,0.9664780003722292,0.9961390660127393,-0.021142036540759728,0.006496319700521417,0.0029409365967148944
F0,F0:logistic,4,0.6124714600962238,0.6003493988783797,0.6220243910555145,0.6684052613855223,0.6888898343289969,-0.05593380128929857,0.01212206121784401,-0.00955293095929083
F0,F0:boost,0,0.8768540779308184,0.8621281869289465,0.8884813465865097,0.9323227092409972,0.9498285012665203,-0.055468631310178894,0.014725891001871794,-0.011627268655691286
F0,F0:boost,1,0.8053216009401701,0.8205116171994596,0.7956087557203922,0.8677265965726576,0.8877525199086346,-0.0624049956324874,-0.015190016259289405,0.009712845219777968
F0,F0:boost,2,0.7985740939500741,0.7905271281930851,0.804671392017533,0.8272887818641262,0.8673898655816679,-0.028714687914052038,0.008046965756989086,-0.006097298067458909
F0,F0:boost,3,0.9450157317430945,0.938839644130948,0.9423950272347545,0.9664780003722292,0.9961390660127393,-0.02146226862913463,0.0061760876121465125,0.0026207045083399896
F0,F0:boost,4,0.6035503551946546,0.6003493988783797,0.6220243910555145,0.6684052613855223,0.6888898343289969,-0.06485490619086778,0.0032009563162748085,-0.018474035860860032
F1,F1:logistic,0,0.8809733863487722,0.8621281869289465,0.8884813465865097,0.9323227092409972,0.9498285012665203,-0.051349322892224894,0.018845199419825796,-0.007507960237737285
F1,F1:logistic,1,0.8077234767042304,0.8205116171994596,0.7956087557203922,0.8677265965726576,0.8877525199086346,-0.06000311986842717,-0.012788140495229177,0.012114720983838199
F1,F1:logistic,2,0.799001795555267,0.7905271281930851,0.804671392017533,0.8272887818641262,0.8673898655816679,-0.028286986308859202,0.008474667362181925,-0.00566959646226607
F1,F1:logistic,3,0.9420361722927542,0.938839644130948,0.9423950272347545,0.9664780003722292,0.9961390660127393,-0.024441828079475092,0.0031965281618060518,-0.0003588549420004736
F1,F1:logistic,4,0.6127474371782504,0.6003493988783797,0.6220243910555145,0.6684052613855223,0.6888898343289969,-0.05565782420727189,0.012398038299870687,-0.009276953877264155
F1,F1:boost,0,0.8759898405443062,0.8621281869289465,0.8884813465865097,0.9323227092409972,0.9498285012665203,-0.056332868696691005,0.013861653615359676,-0.012491506042203403
F1,F1:boost,1,0.8037573017115356,0.8205116171994596,0.7956087557203922,0.8677265965726576,0.8877525199086346,-0.06396929486112206,-0.016754315487924054,0.008148545991143322
F1,F1:boost,2,0.8013780132779502,0.7905271281930851,0.804671392017533,0.8272887818641262,0.8673898655816679,-0.02591076858617598,0.01085088508486515,-0.0032933787395828446
F1,F1:boost,3,0.9445070429571671,0.938839644130948,0.9423950272347545,0.9664780003722292,0.9961390660127393,-0.021970957415061984,0.0056673988262191605,0.002112015722412636
F1,F1:boost,4,0.6108690220712102,0.6003493988783797,0.6220243910555145,0.6684052613855223,0.6888898343289969,-0.0575362393143121,0.010519623192830483,-0.011155368984304357
